k_shot,roc_auc,tpr_fpr_1,threshold_fpr_1,tpr_fpr_5,threshold_fpr_5,tpr_fpr_10,threshold_fpr_10,genuine_n,genuine_mean,impostor_n,impostor_mean,skipped_missing_gallery,skipped_no_queries
1,0.9378125,0.403125,0.783684787750244,0.6875,0.612653723359108,0.83125,0.45911199152469645,320,0.6756403183098882,330,-0.006559451573500128,0,0
3,0.9479607394701735,0.42138364779874216,0.833346197009086,0.8553459119496856,0.48543744981288917,0.8930817610062893,0.38518476784229283,318,0.714877164413063,330,-0.018319613548616567,0,0
5,0.9410433448408132,0.49683544303797467,0.7861490827798839,0.75,0.607860213518143,0.8860759493670886,0.3869802564382555,316,0.7081324999704014,330,-0.010481484652017103,0,0
10,0.961746078144792,0.2990353697749196,0.9158324831724162,0.7459807073954984,0.6672172755002979,0.9292604501607717,0.41776234507560733,311,0.7655462609226681,330,-0.0004924059873729042,0,0
15,0.9700237670825906,0.1895424836601307,0.9426896846294402,0.8921568627450981,0.5112285256385805,0.9477124183006536,0.37279961407184625,306,0.7683000763744311,330,-0.008876036728421847,0,0
