threshold,tp,fn,fp,tn,tpr,fpr,acc,bal_acc,youden
0.2796039468050003,3,0,5,0,1.0,1.0,0.375,0.5,0.0
0.2810297430370321,3,0,5,0,1.0,1.0,0.375,0.5,0.0
0.2824555392690639,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.28388133550109573,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.28530713173312755,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.28673292796515937,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.2881587241971912,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.289584520429223,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.2910103166612548,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.29243611289328664,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.29386190912531845,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.29528770535735027,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.2967135015893821,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.2981392978214139,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.2995650940534457,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.30099089028547754,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.30241668651750936,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.3038424827495412,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.305268278981573,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.3066940752136048,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.30811987144563663,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.30954566767766845,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.31097146390970026,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.3123972601417321,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.3138230563737639,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.3152488526057957,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.31667464883782753,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.31810044506985935,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.31952624130189117,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.320952037533923,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.3223778337659548,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.3238036299979866,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.32522942623001844,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
0.32665522246205025,2,1,5,0,0.6666666666666666,1.0,0.25,0.3333333333333333,-0.33333333333333337
