k_shot,roc_auc,tpr_fpr_1,threshold_fpr_1,tpr_fpr_5,threshold_fpr_5,tpr_fpr_10,threshold_fpr_10,genuine_n,genuine_mean,impostor_n,impostor_mean,skipped_missing_gallery,skipped_no_queries
1,0.8428773718493344,0.3302180685358255,0.7906479108333587,0.5264797507788161,0.5399717897176743,0.6479750778816199,0.44086308479309083,321,0.5169560391676389,330,0.007218376702318589,0,0
3,0.9473897857075427,0.29283489096573206,0.8410414826869961,0.7040498442367601,0.5389502882957461,0.8629283489096573,0.36589250266551976,321,0.6535003539261834,330,-0.0176717553428854,0,0
5,0.9192485603700556,0.22118380062305296,0.876417180299758,0.6105919003115264,0.6199953138828278,0.8286604361370716,0.40231837630271916,321,0.6395652292766304,330,-0.001549258486678203,0,0
10,0.9386104030963844,0.37694704049844235,0.8361538088321683,0.719626168224299,0.5814180970191956,0.8473520249221184,0.39957064688205723,321,0.6834543325424751,330,0.003841669149132389,0,0
15,0.9433305012744265,0.4205607476635514,0.7880979675054546,0.6448598130841121,0.6230479329824448,0.8193146417445483,0.45300529003143325,321,0.6797412013942579,330,0.0009784911872085297,0,0
