frame,detected,det_conf,crop_px,score,verdict
frame_000094_UNKNOWN_-0.621,1,,52,0.7489,MATCH
frame_000095_UNKNOWN_-0.603,1,,53,0.6766,MATCH
frame_000096_UNKNOWN_-0.762,1,,49,0.676,MATCH
frame_000097_UNKNOWN_-0.658,1,,50,0.5753,MATCH
frame_000098_UNKNOWN_-0.650,1,,50,0.6347,MATCH
frame_000099_UNKNOWN_-0.711,1,,51,0.6361,MATCH
frame_000100_UNKNOWN_-0.654,1,,51,0.6531,MATCH
frame_000101_UNKNOWN_-0.664,1,,49,0.468,MATCH
frame_000102_UNKNOWN_-0.617,1,,49,0.6513,MATCH
frame_000103_UNKNOWN_-0.557,1,,49,0.7159,MATCH
frame_000104_UNKNOWN_-0.589,1,,52,0.5441,MATCH
frame_000105_UNKNOWN_-0.432,1,,52,0.3949,MATCH
frame_000106_UNKNOWN_-0.444,1,,48,0.58,MATCH
frame_000107_UNKNOWN_-0.425,1,,48,0.6875,MATCH
frame_000108_UNKNOWN_-0.451,1,,48,0.6793,MATCH
frame_000109_UNKNOWN_-0.477,1,,50,0.7931,MATCH
frame_000110_UNKNOWN_-0.442,1,,50,0.6634,MATCH
frame_000111_UNKNOWN_-0.416,1,,52,0.5002,MATCH
frame_000112_UNKNOWN_-0.443,1,,47,0.7214,MATCH
frame_000113_UNKNOWN_-0.293,1,,47,0.6443,MATCH
frame_000114_UNKNOWN_-0.462,1,,42,0.8122,MATCH
frame_000115_UNKNOWN_-0.386,1,,46,0.7382,MATCH
frame_000116_UNKNOWN_-0.689,1,,45,0.6603,MATCH
frame_000117_UNKNOWN_-0.679,1,,51,0.653,MATCH
frame_000118_UNKNOWN_-0.681,1,,51,0.6164,MATCH
frame_000119_UNKNOWN_-0.731,1,,51,0.5781,MATCH
frame_000120_UNKNOWN_-0.644,1,,50,0.7543,MATCH
frame_000121_UNKNOWN_-0.692,1,,52,0.7121,MATCH
frame_000122_UNKNOWN_-0.769,1,,53,0.522,MATCH
frame_000123_UNKNOWN_-0.745,1,,53,0.4754,MATCH
frame_000124_UNKNOWN_-0.771,1,,54,0.5521,MATCH
frame_000125_UNKNOWN_-0.727,1,,52,0.5715,MATCH
frame_000126_UNKNOWN_-0.776,1,,55,0.3708,MATCH
frame_000127_UNKNOWN_-0.804,1,,55,0.5442,MATCH
frame_000128_UNKNOWN_-0.763,1,,55,0.4954,MATCH
frame_000130_UNKNOWN_-0.332,1,,49,0.4137,MATCH
frame_000131_UNKNOWN_-0.531,1,,56,0.4218,MATCH
frame_000132_UNKNOWN_-0.385,1,,54,0.1947,MATCH
frame_000133_UNKNOWN_-0.322,1,,54,0.1291,UNKNOWN
frame_000134_UNKNOWN_-0.345,1,,57,0.2431,MATCH
frame_000135_UNKNOWN_-0.501,1,,56,0.3308,MATCH
frame_000136_UNKNOWN_-0.183,1,,59,0.1201,UNKNOWN
frame_000137_UNKNOWN_-0.483,1,,59,0.2135,MATCH
frame_000138_UNKNOWN_-0.508,1,,59,0.1823,MATCH
frame_000139_UNKNOWN_-0.512,1,,61,0.0854,UNKNOWN
frame_000140_UNKNOWN_-0.599,1,,58,0.1963,MATCH
frame_000141_UNKNOWN_-0.497,1,,64,0.2486,MATCH
frame_000142_UNKNOWN_-0.541,1,,64,0.1068,UNKNOWN
frame_000143_UNKNOWN_-0.548,1,,64,0.0743,UNKNOWN
frame_000144_UNKNOWN_-0.395,1,,64,-0.1118,UNKNOWN
frame_000145_UNKNOWN_-0.430,1,,68,-0.0976,UNKNOWN
frame_000146_UNKNOWN_-0.391,1,,69,-0.1662,UNKNOWN
frame_000147_UNKNOWN_-0.319,1,,66,-0.07,UNKNOWN
frame_000148_UNKNOWN_-0.328,1,,66,-0.0538,UNKNOWN
frame_000149_UNKNOWN_-0.372,1,,70,-0.1677,UNKNOWN
frame_000152_UNKNOWN_-0.424,1,,69,0.0464,UNKNOWN
frame_000153_UNKNOWN_-0.413,1,,69,0.0316,UNKNOWN
frame_000154_UNKNOWN_-0.406,1,,76,-0.1498,UNKNOWN
frame_000157_UNKNOWN_-0.521,1,,78,0.1315,UNKNOWN
frame_000158_UNKNOWN_-0.511,1,,78,0.0688,UNKNOWN
frame_000160_UNKNOWN_-0.277,1,,78,0.1039,UNKNOWN
frame_000161_UNKNOWN_-0.410,1,,81,0.2834,MATCH
frame_000162_UNKNOWN_-0.011,1,,82,0.0001,UNKNOWN
frame_000163_UNKNOWN_0.001,1,,82,0.0011,UNKNOWN
frame_000164_UNKNOWN_-0.039,1,,78,0.2393,MATCH
frame_000165_UNKNOWN_-0.079,1,,80,0.0392,UNKNOWN
frame_000166_UNKNOWN_-0.300,1,,77,0.0334,UNKNOWN
frame_000167_UNKNOWN_-0.212,1,,80,0.1659,UNKNOWN
frame_000168_UNKNOWN_-0.236,1,,80,0.1913,MATCH
frame_000169_UNKNOWN_-0.207,1,,77,0.1858,MATCH
frame_000170_UNKNOWN_-0.168,1,,84,0.1222,UNKNOWN
frame_000171_UNKNOWN_-0.203,1,,83,0.2091,MATCH
frame_000172_UNKNOWN_-0.165,1,,88,0.2416,MATCH
frame_000173_UNKNOWN_-0.192,1,,88,0.2422,MATCH
frame_000174_UNKNOWN_-0.011,1,,83,0.1759,UNKNOWN
frame_000175_UNKNOWN_-0.056,1,,88,0.1266,UNKNOWN
frame_000176_UNKNOWN_-0.133,1,,86,0.1121,UNKNOWN
frame_000177_UNKNOWN_-0.156,1,,92,0.0963,UNKNOWN
frame_000178_UNKNOWN_-0.206,1,,92,0.1298,UNKNOWN
frame_000179_UNKNOWN_-0.064,1,,90,0.0907,UNKNOWN
frame_000180_UNKNOWN_-0.333,1,,98,0.2471,MATCH
frame_000181_UNKNOWN_-0.187,1,,99,0.2258,MATCH
frame_000182_UNKNOWN_-0.200,1,,102,0.2537,MATCH
frame_000183_UNKNOWN_-0.188,1,,102,0.2418,MATCH
frame_000184_UNKNOWN_-0.439,1,,100,0.2445,MATCH
frame_000185_UNKNOWN_-0.293,1,,100,0.278,MATCH
frame_000186_UNKNOWN_-0.419,1,,103,0.3616,MATCH
frame_000187_UNKNOWN_-0.309,1,,102,0.3668,MATCH
frame_000188_UNKNOWN_-0.325,1,,102,0.3405,MATCH
frame_000189_UNKNOWN_-0.395,1,,101,0.3771,MATCH
frame_000190_UNKNOWN_-0.328,1,,99,0.3844,MATCH
frame_000191_UNKNOWN_-0.503,1,,95,0.5889,MATCH
frame_000192_UNKNOWN_-0.443,1,,99,0.4895,MATCH
frame_000193_UNKNOWN_-0.425,1,,99,0.4756,MATCH
frame_000194_UNKNOWN_-0.443,1,,101,0.445,MATCH
frame_000195_UNKNOWN_-0.391,1,,105,0.4112,MATCH
frame_000196_UNKNOWN_-0.385,1,,104,0.5145,MATCH
frame_000197_UNKNOWN_-0.446,1,,102,0.5253,MATCH
frame_000198_UNKNOWN_-0.463,1,,102,0.5222,MATCH
frame_000199_UNKNOWN_-0.393,1,,98,0.5621,MATCH
frame_000200_UNKNOWN_-0.426,1,,98,0.5853,MATCH
frame_000201_UNKNOWN_-0.410,1,,97,0.5739,MATCH
frame_000202_UNKNOWN_-0.484,1,,99,0.4844,MATCH
frame_000203_UNKNOWN_-0.466,1,,99,0.5091,MATCH
frame_000204_UNKNOWN_-0.433,1,,105,0.5164,MATCH
frame_000205_UNKNOWN_-0.368,1,,108,0.5075,MATCH
frame_000206_UNKNOWN_-0.458,1,,109,0.4733,MATCH
frame_000207_UNKNOWN_-0.462,1,,109,0.4952,MATCH
frame_000208_UNKNOWN_-0.459,1,,109,0.4918,MATCH
frame_000209_UNKNOWN_-0.323,1,,110,0.3827,MATCH
frame_000210_UNKNOWN_-0.391,1,,102,0.4262,MATCH
frame_000211_UNKNOWN_-0.321,1,,104,0.4257,MATCH
frame_000212_UNKNOWN_-0.348,1,,97,0.4086,MATCH
frame_000213_UNKNOWN_-0.336,1,,97,0.4071,MATCH
frame_000214_UNKNOWN_-0.362,1,,102,0.4124,MATCH
frame_000215_UNKNOWN_-0.373,1,,96,0.3895,MATCH
frame_000216_UNKNOWN_-0.528,1,,98,0.4424,MATCH
frame_000217_UNKNOWN_-0.405,1,,95,0.4395,MATCH
frame_000218_UNKNOWN_-0.425,1,,95,0.4442,MATCH
frame_000219_UNKNOWN_-0.461,1,,94,0.5095,MATCH
frame_000220_UNKNOWN_-0.447,1,,90,0.4722,MATCH
frame_000221_UNKNOWN_-0.482,1,,88,0.493,MATCH
frame_000222_UNKNOWN_-0.433,1,,80,0.3584,MATCH
frame_000223_UNKNOWN_-0.468,1,,80,0.3791,MATCH
frame_000224_UNKNOWN_-0.412,1,,79,0.4029,MATCH
frame_000225_UNKNOWN_-0.371,1,,79,0.4364,MATCH
frame_000226_UNKNOWN_-0.469,1,,85,0.4252,MATCH
frame_000227_UNKNOWN_-0.395,1,,82,0.3963,MATCH
frame_000228_UNKNOWN_-0.370,1,,83,0.3968,MATCH
frame_000229_UNKNOWN_-0.463,1,,83,0.4723,MATCH
frame_000230_UNKNOWN_-0.420,1,,83,0.4045,MATCH
frame_000231_UNKNOWN_-0.411,1,,81,0.3997,MATCH
frame_000232_UNKNOWN_-0.415,1,,77,0.3788,MATCH
frame_000233_UNKNOWN_-0.417,1,,77,0.3818,MATCH
frame_000234_UNKNOWN_-0.416,1,,86,0.4242,MATCH
frame_000235_UNKNOWN_-0.344,1,,82,0.3777,MATCH
frame_000236_UNKNOWN_-0.378,1,,81,0.4004,MATCH
frame_000237_UNKNOWN_-0.342,1,,83,0.3931,MATCH
frame_000238_UNKNOWN_-0.349,1,,83,0.398,MATCH
