k_shot,roc_auc,tpr_fpr_1,threshold_fpr_1,tpr_fpr_5,threshold_fpr_5,tpr_fpr_10,threshold_fpr_10,genuine_n,genuine_mean,impostor_n,impostor_mean,skipped_missing_gallery,skipped_no_queries
1,0.9099843569339591,0.2413793103448276,0.8235354661941524,0.5225464190981433,0.714793935418129,0.7612732095490716,0.5711756348609924,377,0.6606229135979076,546,0.02280618611811882,0,0
3,0.93598002351318,0.376657824933687,0.8544437259435649,0.6525198938992043,0.7205290347337723,0.8514588859416445,0.5489488542079926,377,0.7293744640380381,546,0.00600034908405181,0,0
5,0.9552763770270402,0.46684350132625996,0.8417540431022634,0.7453580901856764,0.6844723224639893,0.8753315649867374,0.5219203531742096,377,0.7612548200339474,546,0.0012109846221248963,0,0
10,0.9406923757056384,0.35013262599469497,0.8933001548051829,0.7188328912466844,0.735634982585907,0.8461538461538461,0.56907057762146,377,0.7626286785733399,546,0.0159737805020569,0,0
15,0.9528327552200231,0.4535809018567639,0.8659767806529987,0.6976127320954907,0.7554960548877716,0.8541114058355438,0.596297562122345,377,0.7839338987453073,546,0.016911328372787752,0,0
