k_shot,roc_auc,tpr_fpr_1,threshold_fpr_1,tpr_fpr_5,threshold_fpr_5,tpr_fpr_10,threshold_fpr_10,genuine_n,genuine_mean,impostor_n,impostor_mean,skipped_missing_gallery,skipped_no_queries
3,0.4529320987654321,0.027777777777777776,0.9275314271450043,0.05555555555555555,0.8841664642095566,0.08333333333333333,0.8661625385284424,108,0.5809257648264369,36,0.6282125487923622,0,0
5,0.4802777777777778,0.0,0.9488332808017731,0.08,0.8559300601482391,0.17,0.8224341571331024,100,0.6142832627892494,36,0.6341483166648282,0,0
8,0.5148358585858586,0.022727272727272728,0.9152866393327712,0.056818181818181816,0.876747265458107,0.07954545454545454,0.8532370924949646,88,0.628338376949118,36,0.6136804032656882,0,0
10,0.4791666666666667,0.05,0.9017461538314819,0.05,0.8960711508989334,0.15,0.8632722496986389,80,0.6360355495475233,36,0.642315490792195,0,0
