threshold,tp,fn,fp,tn,tpr,fpr,acc,bal_acc,youden
-0.17843176200985908,281,0,146,0,1.0,1.0,0.65807962529274,0.5,0.0
-0.17340341468327608,281,0,146,0,1.0,1.0,0.65807962529274,0.5,0.0
-0.16837506735669308,280,1,146,0,0.99644128113879,1.0,0.6557377049180327,0.498220640569395,-0.003558718861209953
-0.16334672003011008,279,2,146,0,0.9928825622775801,1.0,0.6533957845433255,0.49644128113879005,-0.007117437722419906
-0.15831837270352708,279,2,146,0,0.9928825622775801,1.0,0.6533957845433255,0.49644128113879005,-0.007117437722419906
-0.15329002537694408,279,2,146,0,0.9928825622775801,1.0,0.6533957845433255,0.49644128113879005,-0.007117437722419906
-0.14826167805036108,278,3,146,0,0.9893238434163701,1.0,0.6510538641686182,0.49466192170818507,-0.010676156583629859
-0.14323333072377809,278,3,146,0,0.9893238434163701,1.0,0.6510538641686182,0.49466192170818507,-0.010676156583629859
-0.13820498339719509,278,3,146,0,0.9893238434163701,1.0,0.6510538641686182,0.49466192170818507,-0.010676156583629859
-0.1331766360706121,278,3,146,0,0.9893238434163701,1.0,0.6510538641686182,0.49466192170818507,-0.010676156583629859
-0.1281482887440291,278,3,146,0,0.9893238434163701,1.0,0.6510538641686182,0.49466192170818507,-0.010676156583629859
-0.12311994141744609,278,3,146,0,0.9893238434163701,1.0,0.6510538641686182,0.49466192170818507,-0.010676156583629859
-0.11809159409086308,278,3,146,0,0.9893238434163701,1.0,0.6510538641686182,0.49466192170818507,-0.010676156583629859
-0.11306324676428008,278,3,146,0,0.9893238434163701,1.0,0.6510538641686182,0.49466192170818507,-0.010676156583629859
-0.10803489943769708,277,4,146,0,0.9857651245551602,1.0,0.6487119437939111,0.4928825622775801,-0.014234875444839812
-0.10300655211111408,277,4,146,0,0.9857651245551602,1.0,0.6487119437939111,0.4928825622775801,-0.014234875444839812
-0.09797820478453108,276,5,146,0,0.9822064056939501,1.0,0.6463700234192038,0.49110320284697506,-0.017793594306049876
-0.09294985745794808,276,5,146,0,0.9822064056939501,1.0,0.6463700234192038,0.49110320284697506,-0.017793594306049876
-0.08792151013136508,276,5,146,0,0.9822064056939501,1.0,0.6463700234192038,0.49110320284697506,-0.017793594306049876
-0.08289316280478208,276,5,146,0,0.9822064056939501,1.0,0.6463700234192038,0.49110320284697506,-0.017793594306049876
-0.07786481547819908,276,5,146,0,0.9822064056939501,1.0,0.6463700234192038,0.49110320284697506,-0.017793594306049876
-0.07283646815161608,276,5,146,0,0.9822064056939501,1.0,0.6463700234192038,0.49110320284697506,-0.017793594306049876
-0.06780812082503308,275,6,146,0,0.9786476868327402,1.0,0.6440281030444965,0.4893238434163701,-0.02135231316725983
-0.06277977349845008,275,6,146,0,0.9786476868327402,1.0,0.6440281030444965,0.4893238434163701,-0.02135231316725983
