k_shot,roc_auc,tpr_fpr_1,threshold_fpr_1,tpr_fpr_5,threshold_fpr_5,tpr_fpr_10,threshold_fpr_10,genuine_n,genuine_mean,impostor_n,impostor_mean,skipped_missing_gallery,skipped_no_queries
1,0.9381011145717028,0.29411764705882354,0.8929372638463973,0.5935828877005348,0.7874265313148499,0.8502673796791443,0.5753642320632935,374,0.7564825177650879,546,-0.006740229159948372,0,0
3,0.9472845994585125,0.6032608695652174,0.8496191203594208,0.8152173913043478,0.6648140549659729,0.8804347826086957,0.5354646444320679,368,0.7856482464577192,546,0.0036522153962826555,0,0
5,0.9453585088944205,0.49171270718232046,0.8775662302970885,0.7734806629834254,0.7127691209316254,0.861878453038674,0.5736850500106812,362,0.7801215209437339,546,-0.00909049503996477,0,0
10,0.9616712726697298,0.6131805157593123,0.8441680824756622,0.7679083094555874,0.7316862463951109,0.8767908309455588,0.5753117918968201,349,0.8096201340361021,507,0.004435870846039092,0,1
15,0.9577944179714091,0.5132743362831859,0.8857934808731079,0.7404129793510325,0.7498008012771605,0.8820058997050148,0.5758496880531313,339,0.808763040114293,507,0.000770428846176912,0,1
