identity,n_genuine,n_impostor,auc,auc_ci_lo,auc_ci_hi,eer,genuine_mean,impostor_mean
uav_3,25,58,0.7055,0.5821,0.8173,0.3276,0.2663,0.0702
wing_loong_i_uav_war_thunder,18,58,0.7299,0.6005,0.8458,0.3755,0.3948,0.1306
baykar_k2_kamikaze_uav_-_baykar_k2_kamikaze_iha,7,58,0.8202,0.6502,0.9507,0.4039,0.4235,0.0611
general_atomics,11,58,0.8495,0.7351,0.9483,0.1897,0.4045,0.0643
uav_gerbera_low-poly,5,58,0.8897,0.8034,0.9621,0.1862,0.7334,0.0582
orion_uav_war_thunder,21,58,0.9376,0.8809,0.9787,0.1552,0.5681,-0.0213
heavy_killer_drone,10,58,0.9379,0.8741,0.9862,0.1034,0.7356,0.0142
bayraktar_kalkan_diha,15,58,0.9724,0.9345,0.9977,0.069,0.8004,-0.0342
Ukraine_pavilion,7,58,0.9778,0.9384,1.0,0.0517,0.8727,0.0797
aai_rq2_pioneer_uav,3,58,1.0,1.0,1.0,0.0,0.938,0.0729
GLOBAL,122,580,0.8687,0.8359,0.8994,0.2131,0.5333,0.0496
