threshold,tp,fn,fp,tn,tpr,fpr,acc,bal_acc,youden
-0.014270497858524323,66,0,5,0,1.0,1.0,0.9295774647887324,0.5,0.0
-0.01107962461721957,66,0,5,0,1.0,1.0,0.9295774647887324,0.5,0.0
-0.00788875137591482,65,1,5,0,0.9848484848484849,1.0,0.9154929577464789,0.49242424242424243,-0.015151515151515138
-0.004697878134610067,65,1,5,0,0.9848484848484849,1.0,0.9154929577464789,0.49242424242424243,-0.015151515151515138
-0.0015070048933053144,64,2,5,0,0.9696969696969697,1.0,0.9014084507042254,0.48484848484848486,-0.030303030303030276
0.0016838683479994381,63,3,5,0,0.9545454545454546,1.0,0.8873239436619719,0.4772727272727273,-0.045454545454545414
0.004874741589304189,63,3,5,0,0.9545454545454546,1.0,0.8873239436619719,0.4772727272727273,-0.045454545454545414
0.008065614830608943,62,4,5,0,0.9393939393939394,1.0,0.8732394366197183,0.4696969696969697,-0.06060606060606055
0.011256488071913694,62,4,5,0,0.9393939393939394,1.0,0.8732394366197183,0.4696969696969697,-0.06060606060606055
0.014447361313218445,62,4,5,0,0.9393939393939394,1.0,0.8732394366197183,0.4696969696969697,-0.06060606060606055
0.0176382345545232,62,4,5,0,0.9393939393939394,1.0,0.8732394366197183,0.4696969696969697,-0.06060606060606055
0.02082910779582795,62,4,5,0,0.9393939393939394,1.0,0.8732394366197183,0.4696969696969697,-0.06060606060606055
0.024019981037132702,62,4,5,0,0.9393939393939394,1.0,0.8732394366197183,0.4696969696969697,-0.06060606060606055
0.027210854278437453,62,4,5,0,0.9393939393939394,1.0,0.8732394366197183,0.4696969696969697,-0.06060606060606055
0.03040172751974221,62,4,5,0,0.9393939393939394,1.0,0.8732394366197183,0.4696969696969697,-0.06060606060606055
0.03359260076104696,61,5,5,0,0.9242424242424242,1.0,0.8591549295774648,0.4621212121212121,-0.0757575757575758
0.03678347400235171,60,6,5,0,0.9090909090909091,1.0,0.8450704225352113,0.45454545454545453,-0.09090909090909094
0.03997434724365646,60,6,5,0,0.9090909090909091,1.0,0.8450704225352113,0.45454545454545453,-0.09090909090909094
0.043165220484961214,59,7,5,0,0.8939393939393939,1.0,0.8309859154929577,0.44696969696969696,-0.10606060606060608
0.04635609372626597,59,7,5,0,0.8939393939393939,1.0,0.8309859154929577,0.44696969696969696,-0.10606060606060608
0.04954696696757072,59,7,5,0,0.8939393939393939,1.0,0.8309859154929577,0.44696969696969696,-0.10606060606060608
0.052737840208875474,59,7,5,0,0.8939393939393939,1.0,0.8309859154929577,0.44696969696969696,-0.10606060606060608
0.055928713450180224,59,7,5,0,0.8939393939393939,1.0,0.8309859154929577,0.44696969696969696,-0.10606060606060608
0.059119586691484975,59,7,5,0,0.8939393939393939,1.0,0.8309859154929577,0.44696969696969696,-0.10606060606060608
0.062310459932789726,59,7,5,0,0.8939393939393939,1.0,0.8309859154929577,0.44696969696969696,-0.10606060606060608
0.06550133317409447,59,7,5,0,0.8939393939393939,1.0,0.8309859154929577,0.44696969696969696,-0.10606060606060608
0.06869220641539922,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.07188307965670399,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.07507395289800874,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.07826482613931349,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.08145569938061824,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.08464657262192299,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.08783744586322774,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.09102831910453249,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.09421919234583724,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.09741006558714199,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.10060093882844674,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.1037918120697515,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.10698268531105626,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.11017355855236101,58,8,5,0,0.8787878787878788,1.0,0.8169014084507042,0.4393939393939394,-0.12121212121212122
0.11336443179366576,57,9,5,0,0.8636363636363636,1.0,0.8028169014084507,0.4318181818181818,-0.13636363636363635
0.1165553050349705,56,10,4,1,0.8484848484848485,0.8,0.8028169014084507,0.5242424242424242,0.048484848484848464
0.11974617827627526,56,10,4,1,0.8484848484848485,0.8,0.8028169014084507,0.5242424242424242,0.048484848484848464
0.12293705151758003,56,10,4,1,0.8484848484848485,0.8,0.8028169014084507,0.5242424242424242,0.048484848484848464
0.12612792475888476,56,10,3,2,0.8484848484848485,0.6,0.8169014084507042,0.6242424242424243,0.24848484848484853
