route_id,feature_group,point_index,latitude_deg,longitude_deg,altitude_m,route_length_m,desired_speed_kt
railway_0001,FFCC València - Sant Vicenç de Calders,0,39.4662898,-0.37725740000000024,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,1,39.46585427603124,-0.377404740894306,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,2,39.465419433232974,-0.3775553970214389,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,3,39.46498458944168,-0.3777060477404731,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,4,39.46454974413401,-0.3778566905368598,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,5,39.46411489853914,-0.3780073313163032,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,6,39.46368005265711,-0.37815797007886226,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,7,39.46324520648791,-0.3783086068246002,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,8,39.462810360031575,-0.3784592415535771,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,9,39.46237551328809,-0.3786098742658537,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,10,39.46194066625748,-0.3787605049614912,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,11,39.46150631120844,-0.3789134716286399,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,12,39.461071627124994,-0.37906488070764705,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,13,39.46063691735758,-0.37921616743255865,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,14,39.4602022073011,-0.3793674521336154,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,15,39.45976753194909,-0.3795189016803221,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,16,39.45933298865673,-0.37967098032032365,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,17,39.45889844507298,-0.3798230569276725,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,18,39.45846390119784,-0.3799751315024318,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,19,39.45802931211976,-0.3801269899790608,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,20,39.45759462800631,-0.3802783948360958,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,21,39.45715961769377,-0.38042816542166485,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,22,39.45671956372599,-0.38055073295726966,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,23,39.45627575692295,-0.38064834977384837,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,24,39.45583077986105,-0.38073689812092976,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,25,39.45538615563248,-0.38082835355348205,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,26,39.45494557473931,-0.38094738503592684,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,27,39.45450962731478,-0.3810925991867853,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,28,39.454075133805055,-0.38124488699789366,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,29,39.45364081363287,-0.38139801379472055,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,30,39.4532098797894,-0.3815660084144676,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,31,39.45280502468679,-0.3818184850269418,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,32,39.452441626273306,-0.38216047464053293,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,33,39.45208111910096,-0.38250770830602887,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,34,39.451678779731445,-0.382765670558367,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,35,39.451248903767556,-0.3829369918553299,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,36,39.45081454288475,-0.38308992214976023,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,37,39.45038033327185,-0.3832435655545404,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,38,39.44994612336295,-0.3833972069099222,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,39,39.44951191808489,-0.38355086937484023,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,40,39.44907739477006,-0.3837030130528897,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,41,39.448634461942525,-0.3837971088258925,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,42,39.44818587430644,-0.38376632970188335,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,43,39.447743860557516,-0.3836559034483882,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,44,39.447301071157874,-0.3835513721637716,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,45,39.446851634537175,-0.38353379873936233,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,46,39.44640759657059,-0.383625790919059,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,47,39.44597013128134,-0.38376318009943017,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,48,39.44553223154257,-0.383898070468218,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,49,39.44508585915366,-0.3839690812354731,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,50,39.44463671832667,-0.38393960204687505,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,51,39.44420622843179,-0.38377764407516546,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,52,39.44380278559936,-0.3835220184612038,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,53,39.443441630439935,-0.3831766794698087,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,54,39.443140107567245,-0.38274726504390005,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,55,39.44292628568996,-0.38223881915196933,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,56,39.442742831252154,-0.38170857960183535,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,57,39.44257849924685,-0.38116794140431026,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,58,39.44242579361586,-0.38062197645219153,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,59,39.442307095223,-0.3800622075820036,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,60,39.44223587285807,-0.3794890197607578,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,61,39.442179652554685,-0.3789128718487842,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,62,39.442123429424306,-0.3783367250205794,100.0,19019.032960187098,120.0
